Category,JEE Marks,MHT-CET Marks,Branch,10th Marks,12th Marks
OBC,8,24,Biotechnology,92,58
ST,137,191,Electrical,100,90
ST,14,0,Electrical,53,54
OBC,182,150,Biotechnology,76,55
OBC,85,99,Civil,71,91
OBC,149,16,Electrical,62,45
OBC,1,57,Civil,82,58
General,183,19,Computer Science,89,59
SC,273,133,Computer Science,57,75
SC,294,161,Civil,88,92
General,246,190,Electrical,75,55
ST,54,109,Electrical,95,65
OBC,52,200,Chemical Engineering,68,83
SC,116,116,Chemical Engineering,76,86
OBC,223,125,Biotechnology,76,90
General,234,175,Mechanical,97,79
General,194,14,Computer Science,88,68
ST,45,151,Mechanical,59,49
General,267,176,Mechanical,68,77
General,22,35,Biotechnology,67,75
ST,295,129,Computer Science,67,81
SC,172,124,Biotechnology,76,86
OBC,100,183,Mechanical,73,97
OBC,204,8,Biotechnology,59,70
General,118,41,Electrical,98,94
SC,85,193,Electrical,59,83
OBC,193,25,Chemical Engineering,72,57
ST,146,6,Mechanical,75,97
OBC,37,200,Chemical Engineering,68,88
SC,215,198,Chemical Engineering,53,78
General,167,118,Computer Science,50,85
General,122,24,Electrical,93,88
OBC,63,0,Biotechnology,68,51
SC,148,135,Biotechnology,73,54
SC,263,117,Biotechnology,63,65
SC,127,38,Mechanical,90,61
SC,191,22,Chemical Engineering,72,62
SC,266,131,Biotechnology,67,60
ST,144,181,Electrical,96,95
OBC,195,57,Civil,59,87
OBC,184,82,Mechanical,60,56
SC,182,18,Chemical Engineering,70,67
SC,38,184,Chemical Engineering,61,82
SC,40,174,Chemical Engineering,60,88
General,158,48,Civil,77,80
SC,272,16,Computer Science,61,59
OBC,190,34,Chemical Engineering,65,53
OBC,119,70,Electrical,94,86
ST,226,161,Chemical Engineering,86,58
OBC,46,129,Civil,95,94
SC,118,106,Chemical Engineering,77,94
SC,161,150,Biotechnology,77,80
OBC,144,21,Electrical,66,47
General,149,54,Civil,78,85
ST,66,104,Electrical,100,65
OBC,170,93,Electrical,49,83
General,191,10,Computer Science,87,63
SC,264,126,Biotechnology,69,58
ST,94,169,Computer Science,97,97
ST,284,200,Biotechnology,72,92
OBC,66,94,Civil,62,85
SC,190,9,Chemical Engineering,60,45
OBC,286,148,Chemical Engineering,74,90
SC,43,177,Chemical Engineering,67,84
General,165,118,Computer Science,55,82
ST,286,200,Biotechnology,71,93
General,206,33,Chemical Engineering,66,62
OBC,214,130,Biotechnology,79,95
ST,151,183,Computer Science,60,53
SC,140,30,Mechanical,92,54
SC,277,27,Computer Science,59,54
OBC,177,139,Biotechnology,71,55
SC,280,163,Civil,89,90
OBC,209,120,Biotechnology,69,84
SC,139,137,Biotechnology,74,59
OBC,13,169,Electrical,94,64
OBC,42,191,Chemical Engineering,74,85
OBC,183,144,Biotechnology,71,50
OBC,40,66,Biotechnology,62,79
ST,110,28,Mechanical,61,94
ST,88,33,Civil,46,59
ST,129,182,Electrical,94,89
OBC,108,44,Mechanical,64,85
General,178,34,Computer Science,70,82
OBC,116,37,Mechanical,59,88
ST,253,144,Electrical,91,91
ST,239,112,Computer Science,91,78
OBC,174,96,Electrical,49,82
OBC,39,200,Chemical Engineering,68,88
ST,163,18,Computer Science,84,58
ST,162,6,Mechanical,76,89
General,25,200,Computer Science,98,82
SC,300,63,Chemical Engineering,80,50
ST,198,181,Mechanical,92,71
OBC,48,0,Biotechnology,69,47
ST,232,130,Mechanical,81,76
SC,182,16,Chemical Engineering,66,47
OBC,133,62,Electrical,97,88
General,240,170,Mechanical,51,64
OBC,31,66,Biotechnology,59,76
SC,220,194,Chemical Engineering,49,73
General,189,18,Computer Science,86,68
SC,33,115,Mechanical,58,74
OBC,151,42,Electrical,66,70
OBC,136,59,Electrical,94,79
OBC,120,54,Electrical,95,82
OBC,73,104,Civil,68,89
General,115,200,Mechanical,93,92
OBC,129,65,Chemical Engineering,100,84
General,191,10,Computer Science,82,66
OBC,24,79,Mechanical,55,79
OBC,62,79,Chemical Engineering,71,55
General,118,29,Electrical,100,85
General,180,3,Computer Science,86,67
General,208,192,Biotechnology,93,79
SC,146,46,Mechanical,87,53
OBC,209,113,Biotechnology,69,87
General,180,10,Computer Science,87,62
ST,116,33,Mechanical,58,92
ST,156,172,Computer Science,64,54
ST,149,68,Civil,73,74
SC,103,123,Chemical Engineering,73,88
OBC,213,128,Biotechnology,75,81
SC,142,127,Biotechnology,72,56
General,196,13,Computer Science,82,64
ST,94,181,Computer Science,88,94
General,211,190,Biotechnology,90,86
ST,97,25,Civil,48,64
OBC,74,93,Civil,64,83
OBC,100,196,Mechanical,72,92
OBC,17,166,Electrical,93,71
ST,233,130,Mechanical,85,68
ST,204,185,Mechanical,89,80
OBC,114,34,Mechanical,63,82
SC,266,126,Biotechnology,64,58
General,174,23,Computer Science,73,85
General,195,2,Computer Science,89,62
ST,25,0,Electrical,96,81
General,189,36,Computer Science,67,85
SC,169,149,Biotechnology,76,77
SC,169,22,Mechanical,90,51
General,96,98,Biotechnology,78,68
ST,142,179,Computer Science,60,46
OBC,29,187,Mechanical,89,57
OBC,180,91,Mechanical,61,58
ST,232,119,Mechanical,87,68
General,85,103,Biotechnology,78,77
General,89,100,Biotechnology,75,73
OBC,71,75,Chemical Engineering,71,56
General,158,2,Computer Science,93,96
General,234,173,Mechanical,91,77
OBC,114,39,Mechanical,67,81
General,212,189,Biotechnology,93,78
SC,133,31,Mechanical,87,62
General,103,185,Biotechnology,68,62
General,87,99,Biotechnology,81,77
SC,163,132,Biotechnology,74,91
OBC,85,89,Civil,64,92
OBC,186,138,Biotechnology,70,52
ST,208,187,Mechanical,86,80
ST,157,80,Civil,75,73
ST,203,189,Mechanical,86,71
OBC,98,62,Computer Science,86,57
ST,22,2,Civil,59,84
OBC,33,81,Mechanical,62,77
OBC,31,184,Mechanical,88,57
OBC,276,199,Computer Science,75,75
OBC,28,36,Chemical Engineering,50,59
OBC,90,194,Mechanical,73,93
SC,59,188,Mechanical,53,73
OBC,127,55,Civil,48,93
ST,155,80,Civil,82,76
SC,180,10,Chemical Engineering,65,45
OBC,186,56,Civil,57,79
General,181,15,Electrical,47,87
General,217,200,Biotechnology,95,85
OBC,48,133,Civil,91,92
ST,242,123,Mechanical,84,69
ST,148,75,Civil,76,78
General,23,34,Biotechnology,62,80
OBC,10,42,Biotechnology,90,52
ST,151,178,Computer Science,68,49
SC,49,180,Electrical,96,61
ST,240,131,Mechanical,81,73
General,16,199,Computer Science,98,84
General,114,178,Biotechnology,77,62
OBC,188,150,Biotechnology,75,54
SC,84,193,Chemical Engineering,57,80
General,109,181,Biotechnology,73,60
SC,53,189,Electrical,96,59
OBC,109,44,Mechanical,66,86
OBC,62,0,Biotechnology,62,50
General,188,22,Computer Science,73,81
General,151,55,Civil,81,80
ST,42,137,Mechanical,58,46
SC,163,11,Mechanical,88,51
ST,278,128,Computer Science,67,75
SC,136,41,Mechanical,90,56
OBC,198,56,Civil,56,85
OBC,66,86,Chemical Engineering,69,50
SC,47,127,Mechanical,57,76
General,126,27,Electrical,96,87
OBC,151,122,Mechanical,76,86
OBC,176,92,Electrical,53,84
SC,36,83,Civil,76,74
ST,243,108,Computer Science,94,74
OBC,37,62,Biotechnology,62,75
ST,286,191,Biotechnology,69,96
ST,242,166,Chemical Engineering,90,57
General,193,16,Electrical,49,85
OBC,186,146,Biotechnology,70,51
SC,78,196,Electrical,66,87
General,87,104,Biotechnology,77,75
SC,133,47,Mechanical,89,54
ST,57,94,Electrical,97,66
SC,156,152,Biotechnology,69,85
SC,58,188,Mechanical,51,74
ST,94,176,Computer Science,97,100
ST,198,199,Mechanical,91,74
SC,140,137,Biotechnology,71,58
ST,292,195,Biotechnology,78,91
General,101,179,Biotechnology,73,57
ST,65,95,Electrical,100,67
General,21,19,Biotechnology,68,79
ST,146,167,Computer Science,63,46
SC,59,181,Electrical,97,56
OBC,87,189,Mechanical,70,98
General,151,0,Computer Science,96,100
General,146,58,Civil,79,80
OBC,98,185,Mechanical,74,100
OBC,25,84,Mechanical,61,75
SC,118,115,Chemical Engineering,75,95
General,24,191,Computer Science,100,87
OBC,45,34,Chemical Engineering,52,59
General,112,190,Mechanical,90,89
ST,294,200,Biotechnology,78,91
General,126,29,Electrical,100,90
ST,285,200,Biotechnology,76,92
General,41,122,Civil,85,76
OBC,6,24,Biotechnology,90,60
ST,0,5,Electrical,54,54
ST,294,127,Computer Science,64,73
General,232,174,Mechanical,47,62
General,160,9,Computer Science,100,95
SC,42,173,Chemical Engineering,65,79
General,24,33,Biotechnology,64,81
General,201,43,Chemical Engineering,66,90
OBC,204,34,Chemical Engineering,71,54
SC,281,132,Computer Science,51,75
General,161,51,Civil,72,85
OBC,97,58,Computer Science,88,56
General,159,58,Civil,76,82
SC,277,160,Civil,89,91
OBC,73,169,Mechanical,74,63
ST,69,95,Electrical,96,65
SC,45,182,Electrical,92,58
SC,191,10,Chemical Engineering,69,66
ST,231,161,Chemical Engineering,91,62
SC,80,180,Chemical Engineering,53,83
OBC,261,183,Computer Science,69,80
General,164,54,Civil,79,85
ST,56,91,Electrical,94,59
General,21,63,Biotechnology,81,74
ST,243,134,Mechanical,80,69
SC,190,0,Chemical Engineering,64,49
ST,58,22,Biotechnology,87,82
OBC,113,60,Chemical Engineering,100,86
OBC,40,27,Chemical Engineering,50,65
ST,93,25,Civil,54,57
General,153,9,Computer Science,95,96
SC,190,12,Chemical Engineering,70,65
OBC,227,126,Biotechnology,68,84
OBC,225,130,Biotechnology,74,86
OBC,126,52,Civil,54,86
OBC,65,176,Mechanical,80,63
OBC,113,67,Chemical Engineering,96,93
General,204,195,Biotechnology,94,81
OBC,130,61,Electrical,97,81
OBC,296,63,Mechanical,91,74
General,202,189,Biotechnology,89,82
SC,64,197,Mechanical,51,66
General,187,56,Chemical Engineering,70,89
ST,56,102,Electrical,100,60
General,96,172,Biotechnology,73,61
ST,269,157,Electrical,87,92
SC,44,185,Chemical Engineering,64,83
OBC,282,63,Mechanical,93,78
OBC,12,134,Biotechnology,59,76
OBC,268,192,Computer Science,72,81
OBC,67,99,Civil,67,87
OBC,63,89,Chemical Engineering,75,52
OBC,117,59,Chemical Engineering,95,90
OBC,0,40,Biotechnology,94,57
General,164,85,Biotechnology,77,61
OBC,162,37,Electrical,72,69
ST,298,198,Biotechnology,72,90
ST,79,175,Computer Science,97,91
OBC,90,198,Mechanical,72,100
OBC,10,24,Biotechnology,91,53
General,167,87,Biotechnology,74,55
SC,172,117,Biotechnology,75,90
General,240,187,Electrical,82,59
ST,300,200,Biotechnology,78,93
SC,82,191,Electrical,65,85
General,209,189,Biotechnology,91,86
ST,139,185,Electrical,95,92
General,274,184,Mechanical,68,77
ST,208,198,Mechanical,91,79
General,231,182,Mechanical,94,71
General,148,58,Civil,76,85
SC,78,186,Chemical Engineering,55,78
ST,0,3,Electrical,54,55
General,41,115,Civil,81,68
General,251,200,Electrical,81,59
General,165,7,Computer Science,91,95
ST,13,0,Electrical,95,90
SC,96,175,Chemical Engineering,52,78
General,156,70,Biotechnology,76,58
OBC,92,184,Mechanical,69,93
ST,206,183,Mechanical,90,76
General,221,19,Chemical Engineering,63,60
SC,196,12,Chemical Engineering,68,46
OBC,170,95,Electrical,50,82
General,230,174,Mechanical,54,63
OBC,218,122,Biotechnology,66,84
General,91,97,Biotechnology,74,71
OBC,185,151,Biotechnology,74,53
OBC,271,185,Computer Science,71,77
General,156,43,Civil,80,86
SC,149,133,Biotechnology,70,60
ST,163,15,Computer Science,84,58
ST,70,103,Electrical,95,61
SC,165,15,Mechanical,88,52
OBC,3,29,Biotechnology,92,60
OBC,28,71,Biotechnology,55,79
OBC,204,0,Biotechnology,63,68
ST,290,196,Biotechnology,70,94
OBC,136,125,Mechanical,70,91
General,38,122,Civil,81,70
OBC,92,196,Mechanical,70,98
SC,300,54,Chemical Engineering,85,57
SC,77,189,Electrical,64,84
ST,232,159,Chemical Engineering,89,55
SC,36,126,Mechanical,59,78
General,8,194,Computer Science,96,86
SC,222,187,Chemical Engineering,55,78
SC,46,192,Electrical,92,57
General,165,128,Computer Science,53,80
SC,196,18,Chemical Engineering,68,63
General,192,8,Electrical,50,86
SC,290,151,Civil,89,87
General,12,66,Biotechnology,82,75
General,244,174,Mechanical,93,72
OBC,53,200,Chemical Engineering,72,83
OBC,69,76,Chemical Engineering,73,54
OBC,125,60,Civil,47,92
General,226,170,Mechanical,55,60
ST,197,194,Mechanical,94,78
General,231,170,Mechanical,95,77
ST,144,183,Electrical,95,95
SC,195,16,Chemical Engineering,63,46
ST,103,33,Civil,49,61
General,49,117,Civil,81,69
ST,20,0,Electrical,100,88
ST,132,198,Electrical,100,88
General,195,14,Computer Science,87,63
ST,65,29,Biotechnology,91,85
ST,27,7,Electrical,100,87
ST,24,1,Electrical,91,88
SC,193,9,Chemical Engineering,67,50
OBC,11,148,Biotechnology,62,75
General,175,39,Computer Science,64,84
OBC,30,73,Biotechnology,53,75
ST,141,80,Civil,80,74
OBC,42,190,Chemical Engineering,75,92
General,154,1,Computer Science,92,100
SC,85,186,Electrical,64,85
General,221,200,Biotechnology,94,79
SC,198,18,Chemical Engineering,71,61
SC,163,117,Biotechnology,81,88
SC,86,179,Electrical,66,86
SC,279,30,Computer Science,57,59
OBC,111,50,Computer Science,93,53
OBC,160,42,Electrical,72,73
OBC,114,30,Mechanical,67,83
ST,227,105,Computer Science,89,77
General,204,29,Chemical Engineering,63,65
ST,285,198,Biotechnology,69,89
ST,14,0,Civil,56,77
ST,51,141,Mechanical,51,45
General,183,23,Computer Science,64,77
General,191,7,Electrical,54,88
SC,296,64,Chemical Engineering,83,58
OBC,120,62,Chemical Engineering,96,89
General,108,181,Biotechnology,77,57
OBC,260,193,Computer Science,73,75
ST,131,199,Electrical,100,93
General,106,183,Biotechnology,75,53
OBC,73,86,Chemical Engineering,69,57
ST,19,1,Electrical,99,90
ST,22,9,Civil,57,83
OBC,177,148,Biotechnology,72,52
OBC,191,147,Biotechnology,70,48
General,189,4,Computer Science,82,60
OBC,166,81,Electrical,46,82
SC,142,142,Biotechnology,73,56
SC,163,159,Biotechnology,75,84
SC,129,40,Mechanical,91,57
ST,24,1,Electrical,97,82
SC,142,38,Mechanical,90,57
OBC,154,8,Electrical,65,47
OBC,122,30,Mechanical,64,89
ST,68,101,Electrical,100,64
General,130,39,Electrical,100,92
SC,132,38,Mechanical,84,58
General,196,17,Electrical,48,92
General,188,49,Chemical Engineering,62,90
OBC,299,54,Mechanical,92,81
ST,139,188,Electrical,94,92
SC,65,197,Mechanical,55,72
ST,62,37,Biotechnology,87,86
OBC,11,24,Biotechnology,91,53
SC,82,184,Chemical Engineering,58,80
General,27,69,Biotechnology,81,78
OBC,223,0,Biotechnology,62,68
General,189,5,Electrical,48,92
ST,103,35,Civil,51,62
SC,179,16,Chemical Engineering,65,45
SC,41,121,Mechanical,53,83
ST,162,5,Mechanical,70,97
OBC,224,128,Biotechnology,78,91
OBC,75,83,Chemical Engineering,75,54
SC,65,195,Mechanical,51,74
General,212,25,Chemical Engineering,63,66
ST,229,97,Computer Science,94,77
General,183,17,Computer Science,85,62
SC,63,188,Mechanical,55,74
General,27,60,Biotechnology,86,75
General,197,11,Electrical,51,88
OBC,190,153,Biotechnology,76,52
OBC,181,147,Biotechnology,68,50
ST,61,109,Electrical,99,64
General,272,174,Mechanical,74,81
SC,162,14,Mechanical,85,49
SC,271,133,Computer Science,59,73
General,148,60,Civil,76,84
ST,237,102,Computer Science,88,74
OBC,168,84,Electrical,50,83
OBC,82,128,Biotechnology,60,81
SC,64,190,Mechanical,56,67
SC,276,139,Computer Science,60,75
OBC,152,19,Electrical,60,49
General,187,39,Computer Science,65,78
General,246,194,Electrical,80,60
OBC,87,127,Biotechnology,63,82
General,112,180,Biotechnology,77,55
ST,20,11,Electrical,95,82
OBC,111,41,Mechanical,66,84
SC,143,41,Mechanical,83,60
SC,58,200,Mechanical,54,72
ST,254,152,Electrical,89,93
General,191,4,Electrical,54,85
OBC,101,182,Mechanical,69,98
General,29,20,Biotechnology,62,77
General,91,103,Biotechnology,73,76
OBC,64,87,Chemical Engineering,75,55
ST,212,184,Mechanical,91,72
OBC,285,144,Chemical Engineering,71,90
General,124,194,Mechanical,85,92
OBC,85,195,Mechanical,68,94
SC,169,163,Biotechnology,77,84
OBC,151,117,Mechanical,72,91
SC,42,181,Chemical Engineering,60,84
General,161,43,Civil,75,82
General,162,46,Civil,81,86
General,188,53,Chemical Engineering,68,97
ST,105,26,Civil,46,57
ST,166,25,Computer Science,87,67
SC,163,157,Biotechnology,76,85
SC,96,191,Chemical Engineering,55,81
General,158,113,Computer Science,51,88
General,146,59,Civil,78,84
ST,51,147,Mechanical,57,46
OBC,12,61,Civil,80,54
ST,165,21,Computer Science,89,62
OBC,78,105,Civil,66,83
ST,148,9,Mechanical,74,90
SC,288,67,Chemical Engineering,83,58
SC,155,151,Biotechnology,75,79
General,252,200,Electrical,77,56
General,173,69,Biotechnology,75,54
General,100,108,Biotechnology,77,69
SC,47,178,Chemical Engineering,66,82
General,243,184,Mechanical,91,77
OBC,180,85,Mechanical,58,56
OBC,185,140,Biotechnology,75,49
SC,191,15,Chemical Engineering,70,61
OBC,13,31,Biotechnology,95,57
OBC,206,0,Biotechnology,65,72
OBC,9,48,Civil,80,53
OBC,178,149,Biotechnology,76,54
OBC,157,18,Electrical,67,50
ST,244,164,Chemical Engineering,92,60
OBC,108,58,Computer Science,94,59
ST,16,6,Electrical,99,82
OBC,14,77,Mechanical,59,73
ST,149,5,Mechanical,72,92
General,15,188,Computer Science,99,89
General,122,41,Electrical,95,86
OBC,78,171,Mechanical,75,63
General,20,200,Computer Science,95,86
OBC,75,135,Biotechnology,59,84
OBC,46,138,Civil,96,93
OBC,84,189,Mechanical,74,100
OBC,292,64,Mechanical,86,77
ST,288,200,Biotechnology,73,97
OBC,16,147,Biotechnology,55,70
ST,298,200,Biotechnology,78,96
General,21,191,Computer Science,97,86
ST,281,145,Computer Science,67,78
OBC,109,30,Mechanical,61,81
OBC,91,185,Mechanical,72,100
OBC,174,82,Electrical,47,80
General,198,4,Computer Science,89,60
OBC,126,42,Mechanical,60,87
ST,77,181,Computer Science,96,93
SC,171,161,Biotechnology,74,85
ST,11,18,Civil,51,79
SC,296,67,Chemical Engineering,80,55
OBC,181,97,Electrical,50,83
General,123,25,Electrical,98,87
ST,299,200,Biotechnology,69,90
OBC,125,71,Chemical Engineering,93,89
OBC,261,191,Computer Science,73,75
General,191,10,Computer Science,80,60
General,128,194,Mechanical,91,89
General,125,22,Electrical,96,85
SC,179,5,Chemical Engineering,60,52
SC,300,69,Chemical Engineering,89,55
ST,228,125,Mechanical,81,70
General,110,167,Biotechnology,68,57
OBC,8,145,Biotechnology,56,70
SC,266,120,Computer Science,53,70
SC,162,160,Biotechnology,77,83
General,187,55,Chemical Engineering,70,89
General,109,172,Biotechnology,68,61
General,12,67,Biotechnology,88,78
SC,154,143,Biotechnology,70,61
OBC,64,0,Biotechnology,64,51
OBC,132,55,Electrical,89,83
OBC,212,121,Biotechnology,78,93
General,234,187,Electrical,81,58
General,186,21,Computer Science,64,80
General,131,64,Mechanical,75,74
General,189,20,Electrical,56,90
SC,63,199,Mechanical,55,68
ST,287,200,Biotechnology,72,92
SC,161,148,Biotechnology,69,86
General,40,111,Civil,84,76
General,184,40,Computer Science,67,79
General,281,176,Mechanical,72,81
SC,271,120,Computer Science,54,75
SC,167,135,Biotechnology,76,91
OBC,180,87,Electrical,47,77
General,190,11,Electrical,52,92
SC,51,126,Mechanical,56,83
SC,172,26,Mechanical,81,56
SC,166,129,Biotechnology,77,83
OBC,38,61,Biotechnology,54,76
ST,24,12,Electrical,95,84
SC,158,26,Mechanical,81,54
SC,289,158,Civil,87,87
General,235,198,Electrical,81,54
SC,273,24,Computer Science,60,61
SC,37,183,Chemical Engineering,66,79
General,230,187,Mechanical,94,75
OBC,11,30,Biotechnology,98,61
OBC,30,89,Mechanical,62,81
ST,16,0,Electrical,55,57
General,12,57,Biotechnology,80,72
SC,141,140,Biotechnology,73,53
OBC,0,61,Civil,87,58
ST,13,0,Electrical,96,90
OBC,276,186,Computer Science,74,76
ST,237,172,Chemical Engineering,92,57
General,159,83,Biotechnology,74,61
SC,291,64,Chemical Engineering,80,57
ST,51,133,Mechanical,51,53
OBC,30,60,Biotechnology,55,73
SC,148,133,Biotechnology,70,61
OBC,144,111,Mechanical,75,91
OBC,210,131,Biotechnology,73,83
General,241,172,Mechanical,51,64
SC,267,29,Computer Science,53,56
ST,149,8,Mechanical,72,90
ST,89,170,Computer Science,95,97
OBC,33,20,Chemical Engineering,49,64
General,138,78,Mechanical,69,73
SC,191,5,Chemical Engineering,69,70
General,157,114,Computer Science,51,81
SC,186,6,Chemical Engineering,61,47
OBC,277,197,Computer Science,74,74
OBC,63,3,Biotechnology,68,54
General,118,37,Electrical,93,89
SC,226,191,Chemical Engineering,52,71
ST,258,143,Electrical,95,95
General,7,193,Computer Science,94,87
ST,139,79,Civil,74,76
SC,31,84,Civil,79,75
General,100,186,Biotechnology,74,53
General,203,42,Chemical Engineering,68,92
General,159,4,Computer Science,95,93
SC,158,28,Mechanical,84,56
OBC,276,153,Chemical Engineering,75,84
OBC,11,59,Civil,78,55
OBC,184,144,Biotechnology,73,53
General,109,178,Biotechnology,77,60
SC,168,30,Mechanical,84,49
SC,88,183,Chemical Engineering,57,79
SC,217,186,Chemical Engineering,51,80
SC,296,70,Chemical Engineering,88,53
OBC,76,88,Chemical Engineering,78,56
ST,31,6,Electrical,91,84
